3.3968 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
63.3591 	EXP 	Created polygon = Polygon(__class__=<class 'psychopy.visual.polygon.Polygon'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([-1, -1, -1]), fillColorSpace='rgb', fillRGB=array([-1, -1, -1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=0, name='polygon', opacity=1, ori=0.0, pos=array([-0.03771554,  0.091106  ]), size=array([0.01282051, 0.01282051]), units='height', vertices=ndarray(...), win=Window(...))
63.3683 	EXP 	polygon: autoDraw = True
63.3683 	EXP 	polygon: autoDraw = True
63.3683 	EXP 	polygon: autoDraw = True
63.3683 	EXP 	polygon: autoDraw = True
63.3760 	EXP 	Created polygon = Polygon(__class__=<class 'psychopy.visual.polygon.Polygon'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([-1, -1, -1]), fillColorSpace='rgb', fillRGB=array([-1, -1, -1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=0, name='polygon', opacity=1, ori=0.0, pos=array([0.04938031, 0.05193413]), size=array([0.01282051, 0.01282051]), units='height', vertices=ndarray(...), win=Window(...))
63.3850 	EXP 	polygon: autoDraw = True
63.3850 	EXP 	polygon: autoDraw = True
63.3850 	EXP 	polygon: autoDraw = True
63.3850 	EXP 	polygon: autoDraw = True
63.3850 	EXP 	polygon: autoDraw = True
63.3929 	EXP 	Created polygon = Polygon(__class__=<class 'psychopy.visual.polygon.Polygon'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([-1, -1, -1]), fillColorSpace='rgb', fillRGB=array([-1, -1, -1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=0, name='polygon', opacity=1, ori=0.0, pos=array([ 0.09914689, -0.04001392]), size=array([0.01282051, 0.01282051]), units='height', vertices=ndarray(...), win=Window(...))
63.4016 	EXP 	polygon: autoDraw = True
63.4016 	EXP 	polygon: autoDraw = True
63.4016 	EXP 	polygon: autoDraw = True
63.4016 	EXP 	polygon: autoDraw = True
63.4016 	EXP 	polygon: autoDraw = True
63.4016 	EXP 	polygon: autoDraw = True
63.4183 	EXP 	polygon: autoDraw = True
63.4183 	EXP 	polygon: autoDraw = True
63.4183 	EXP 	polygon: autoDraw = True
