,subject,session,block,trial,difficulty,stim_end,response,rt,stim_onset
64,BE,02,1.0,64.0,48.0,3.0,1.0,0.4229100000229664,268.40906089998316
65,BE,02,1.0,65.0,52.0,0.5,2.0,1.0215041000046767,273.4454340999946
66,BE,02,1.0,66.0,48.0,0.1,2.0,1.4878331000218168,276.5895195999765
67,BE,02,1.0,67.0,52.0,7.0,2.0,0.49086720001650974,279.79115619999357
68,BE,02,1.0,68.0,52.0,3.0,1.0,0.8879665999556892,288.89994129998377
69,BE,02,1.0,69.0,48.0,0.3,2.0,1.5450739999650978,294.40011109999614
70,BE,02,1.0,70.0,48.0,0.75,1.0,0.8640260000247508,297.86283220001496
71,BE,02,1.0,71.0,48.0,0.1,2.0,1.7690099999890663,301.0951213000226
72,BE,02,1.0,72.0,48.0,5.0,1.0,0.5191232000361197,304.5791859999881
73,BE,02,1.0,73.0,90.0,0.75,2.0,0.3804859999800101,311.70708439999726
74,BE,02,1.0,74.0,48.0,0.75,1.0,0.3873427999787964,314.45071399997687
75,BE,02,1.0,75.0,52.0,5.0,2.0,0.4549708000267856,317.20486870000605
76,BE,02,1.0,76.0,48.0,1.0,1.0,0.8600338000105694,324.28303719998803
77,BE,02,1.0,77.0,52.0,3.0,2.0,0.5000422999728471,327.7663630999741
78,BE,02,1.0,78.0,52.0,0.5,1.0,0.5604764999588951,332.8810598999844
79,BE,02,1.0,79.0,80.0,0.5,2.0,0.3574095999938436,335.5569146000198
80,BE,02,1.0,80.0,48.0,0.3,1.0,1.0918366000405513,338.02811179996934
81,BE,02,1.0,81.0,52.0,7.0,2.0,0.41226900002220646,341.0439373999834
82,BE,02,1.0,82.0,52.0,7.0,1.0,0.39358929998707026,350.07313969999086
83,BE,02,1.0,83.0,48.0,0.3,2.0,0.8244878000114113,359.08817349997116
84,BE,02,1.0,84.0,52.0,0.75,2.0,0.46858179999981076,361.8485673000105
85,BE,02,1.0,85.0,48.0,0.3,1.0,0.7100547999725677,364.7137083999696
86,BE,02,1.0,86.0,48.0,0.5,1.0,0.44109839998418465,367.35640829999465
87,BE,02,1.0,87.0,52.0,1.0,1.0,0.4365285999956541,369.9115423000185
88,BE,02,1.0,88.0,52.0,0.75,1.0,0.43655159999616444,372.96303360001184
89,BE,02,1.0,89.0,48.0,3.0,1.0,0.5025464000063948,375.75418039999204
90,BE,02,1.0,90.0,52.0,0.3,2.0,0.8340750000206754,380.8877189999912
91,BE,02,1.0,91.0,52.0,0.1,2.0,0.6588695999816991,383.63607720000437
92,BE,02,1.0,92.0,52.0,0.3,1.0,0.933473699958995,386.00905609998154
93,BE,02,1.0,93.0,52.0,0.5,2.0,0.40920729999197647,388.85504900000524
94,BE,02,1.0,94.0,48.0,0.1,2.0,1.0671556000015698,391.3854662000085
95,BE,02,1.0,95.0,52.0,7.0,2.0,0.42887130001327023,394.1781915000174
96,BE,02,1.0,96.0,52.0,0.3,1.0,0.7117257000063546,403.2153578000143
97,BE,02,1.0,97.0,48.0,1.0,1.0,0.38848520000465214,405.8579685000004
98,BE,02,1.0,98.0,48.0,0.3,1.0,0.7162022999837063,408.86371160001727
99,BE,02,1.0,99.0,52.0,3.0,2.0,0.47769730002619326,411.51086999999825
100,BE,02,1.0,100.0,52.0,5.0,2.0,0.4475572999799624,416.60577259998536
101,BE,02,2.0,101.0,52.0,0.75,2.0,0.39772890001768246,427.5420393999666
102,BE,02,2.0,102.0,52.0,0.3,1.0,0.5111645999713801,430.33681579999393
103,BE,02,2.0,103.0,52.0,0.3,1.0,0.6473054999951273,432.76997099997243
104,BE,02,2.0,104.0,52.0,1.0,2.0,0.3617727999808267,435.3344724000199
105,BE,02,2.0,105.0,52.0,0.75,2.0,0.3891086000367068,438.3180612999713
106,BE,02,2.0,106.0,52.0,0.3,2.0,0.4411561000160873,441.08181609999156
107,BE,02,2.0,107.0,52.0,0.5,2.0,0.43983839999418706,443.44784039998194
108,BE,02,2.0,108.0,52.0,5.0,1.0,0.46363640000345185,446.01252270000987
109,BE,02,2.0,109.0,80.0,0.75,2.0,0.3761112000211142,453.0941977999755
110,BE,02,2.0,110.0,52.0,0.1,2.0,1.0706968000158668,455.8366849999875
111,BE,02,2.0,111.0,80.0,0.3,2.0,0.4343830999569036,458.6422848000075
112,BE,02,2.0,112.0,20.0,0.5,1.0,0.4433450000360608,460.98968890000833
113,BE,02,2.0,113.0,48.0,0.3,2.0,0.8823146999930032,463.5625619000057
114,BE,02,2.0,114.0,48.0,7.0,1.0,0.4107108000316657,466.34835990000283
115,BE,02,2.0,115.0,48.0,0.5,2.0,0.7909091000328772,475.3814738999936
116,BE,02,2.0,116.0,52.0,3.0,2.0,0.5050369999953546,478.29434789996594
117,BE,02,2.0,117.0,48.0,3.0,1.0,0.7931948000332341,483.41709279996576
118,BE,02,2.0,118.0,48.0,1.0,2.0,0.45003909996012226,488.8285577999777
119,BE,02,2.0,119.0,52.0,0.5,2.0,0.42914260004181415,491.8955721000093
120,BE,02,2.0,120.0,52.0,0.1,2.0,1.4698326999787241,494.46429979999084
121,BE,02,2.0,121.0,90.0,0.5,2.0,1.0033292999723926,497.66712180001196
122,BE,02,2.0,122.0,48.0,1.0,1.0,0.5287585000041872,500.7852288999711
123,BE,02,2.0,123.0,52.0,5.0,1.0,1.2715081000351347,503.949909100018
124,BE,02,2.0,124.0,52.0,0.75,2.0,1.0009731999598444,511.8340201000101
125,BE,02,2.0,125.0,52.0,0.3,2.0,0.6747684000292793,515.1996695999987
126,BE,02,2.0,126.0,48.0,0.3,1.0,0.6010881999973208,517.809092600015
127,BE,02,2.0,127.0,90.0,0.3,2.0,0.3855364000191912,520.3539606999839
128,BE,02,2.0,128.0,52.0,0.5,1.0,0.9192006000084803,522.6630346999737
129,BE,02,2.0,129.0,48.0,1.0,2.0,0.9875548999989405,525.6937676999951
130,BE,02,2.0,130.0,48.0,3.0,1.0,0.6537242000340484,529.2924290999654
131,BE,02,2.0,131.0,48.0,0.5,1.0,0.689352500019595,534.5537141999812
132,BE,02,2.0,132.0,48.0,3.0,1.0,0.43079780001426116,537.3518681999994
133,BE,02,2.0,133.0,52.0,1.0,2.0,0.3467923999996856,542.4033991000033
134,BE,02,2.0,134.0,52.0,5.0,2.0,0.7864441000274383,545.3699751999811
135,BE,02,2.0,135.0,52.0,7.0,2.0,0.4924199999659322,552.7752849999815
136,BE,02,2.0,136.0,48.0,5.0,1.0,1.5064131999970414,561.875497400004
137,BE,02,2.0,137.0,20.0,0.75,1.0,0.3673945000045933,569.9995383999776
138,BE,02,2.0,138.0,48.0,5.0,1.0,0.42961989995092154,572.7166340000113
139,BE,02,2.0,139.0,10.0,0.5,1.0,0.36911379999946803,579.7668567000073
140,BE,02,2.0,140.0,52.0,5.0,2.0,0.39788730000145733,582.2728056000196
141,BE,02,2.0,141.0,48.0,7.0,1.0,0.8259399999515153,589.2848802999943
142,BE,02,2.0,142.0,10.0,0.3,1.0,0.429296099988278,598.7288588000229
143,BE,02,2.0,143.0,52.0,0.3,2.0,0.5049974999856204,601.0782554000034
144,BE,02,2.0,144.0,48.0,0.3,2.0,0.4920869000488892,603.5135938000167
145,BE,02,2.0,145.0,48.0,5.0,1.0,0.47872760001337156,605.9271543999785
146,BE,02,2.0,146.0,48.0,0.5,2.0,0.3733924999833107,613.0220085000037
147,BE,02,2.0,147.0,52.0,0.3,2.0,0.45923139998922125,615.5240434000152
148,BE,02,2.0,148.0,48.0,0.1,1.0,1.161453100037761,617.9225048000226
149,BE,02,2.0,149.0,52.0,1.0,2.0,0.591119599994272,620.8212612000061
150,BE,02,2.0,150.0,48.0,0.5,2.0,0.4762536999769509,624.0355723999674
151,BE,02,2.0,151.0,52.0,1.0,2.0,0.3760331000084989,626.6255618999712
152,BE,02,2.0,152.0,52.0,7.0,2.0,0.4638754000188783,629.6192903000046
153,BE,02,2.0,153.0,48.0,0.1,2.0,0.8712630000081845,638.6971843999927
154,BE,02,2.0,154.0,52.0,0.5,2.0,0.43835670000407845,641.2859125999967
155,BE,02,2.0,155.0,52.0,0.5,2.0,1.1283538999850862,643.8603945000214
156,BE,02,2.0,156.0,52.0,5.0,2.0,0.6341072000213899,647.1069711999735
157,BE,02,2.0,157.0,48.0,0.75,1.0,0.6569405000191182,654.3533677000087
158,BE,02,2.0,158.0,52.0,7.0,2.0,0.4533748999820091,657.3723017000011
159,BE,02,2.0,159.0,52.0,0.1,2.0,1.0817801000084728,666.456219499989
160,BE,02,2.0,160.0,48.0,7.0,1.0,0.5599860000074841,669.2399924999918
161,BE,02,2.0,161.0,52.0,3.0,2.0,0.5718118000077084,678.4090279000229
162,BE,02,2.0,162.0,52.0,0.5,2.0,0.8022098999936134,683.591602200002
163,BE,02,2.0,163.0,52.0,0.75,2.0,0.4743151000002399,686.5798422999796
164,BE,02,2.0,164.0,48.0,0.75,2.0,0.3888599000056274,689.4236927999882
165,BE,02,2.0,165.0,48.0,0.1,2.0,1.0301268000039272,692.1862876000232
166,BE,02,2.0,166.0,48.0,1.0,1.0,0.6033441000035964,694.935919600015
167,BE,02,2.0,167.0,52.0,7.0,2.0,0.38292440003715456,698.1508742999868
168,BE,02,2.0,168.0,48.0,0.1,2.0,0.7302657999680378,707.1470170000102
169,BE,02,2.0,169.0,52.0,0.1,2.0,1.4314046999788843,709.597002799972
170,BE,02,2.0,170.0,52.0,3.0,2.0,0.6448254999704659,712.7420381999691
171,BE,02,2.0,171.0,52.0,3.0,1.0,0.48699279996799305,718.0159578999737
172,BE,02,2.0,172.0,90.0,0.75,2.0,0.3784468999947421,723.1247377999825
173,BE,02,2.0,173.0,52.0,0.3,2.0,0.8804410999873653,725.8655508999946
174,BE,02,2.0,174.0,48.0,0.5,2.0,1.6065942000132054,728.662146800023
175,BE,02,2.0,175.0,48.0,5.0,1.0,0.5486835000338033,732.3865874999901
176,BE,02,2.0,176.0,52.0,0.75,2.0,1.1754215999972075,739.5697701000026
177,BE,02,2.0,177.0,52.0,7.0,2.0,0.4514578999951482,743.113896899973
178,BE,02,2.0,178.0,10.0,0.75,1.0,0.33445269998628646,752.1766572999768
179,BE,02,2.0,179.0,52.0,1.0,2.0,0.9548557000234723,754.8681658999994
180,BE,02,2.0,180.0,48.0,0.3,1.0,0.7349573000101373,758.4407167999889
